Seed,Model_type,Model,Domain,PCA,RMSE,MAE
6,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (32, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,37710.65572,11190.76402
6,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",TRUE,FALSE,44076.11427,17335.24893
6,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 10, 'random_state': 6, 'verbose': 0}",FALSE,TRUE,7559.270577,4565.854851
6,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 6, 'verbose': 0}",FALSE,TRUE,7522.303634,4552.44192
6,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",FALSE,TRUE,7666.298728,5831.571802
6,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,TRUE,9818.9751,6368.044356
6,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 6, 'verbose': 0}",FALSE,FALSE,7351.317427,4019.704147
6,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 6, 'verbose': 0}",FALSE,FALSE,7468.165649,4170.600604
6,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",FALSE,FALSE,8561.660054,5888.791299
6,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,FALSE,22380.50456,13423.13894
7,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 7, 'verbose': 0}",TRUE,TRUE,9695.4585,4515.854167
7,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 25, 'random_state': 7, 'verbose': 0}",TRUE,TRUE,10044.57272,4859.673321
7,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",TRUE,TRUE,11024.31566,6720.756897
7,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,9641.983079,4813.388746
7,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 7, 'verbose': 0}",TRUE,FALSE,9663.714704,4511.621746
7,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 7, 'verbose': 0}",TRUE,FALSE,9386.687801,4854.397459
7,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,10948.87298,6722.144541
7,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",TRUE,FALSE,13076.26309,9427.292361
7,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 4, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 7, 'verbose': 0}",FALSE,TRUE,8777.914752,3792.527292
7,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 7, 'verbose': 0}",FALSE,TRUE,8596.669239,4255.625085
7,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 16), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",FALSE,TRUE,12624.52968,6454.182034
7,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,TRUE,9063.574148,4962.320871
7,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 7, 'verbose': 0}",FALSE,FALSE,8524.228058,3779.182024
7,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 7, 'verbose': 0}",FALSE,FALSE,8214.624373,3444.946884
7,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",FALSE,FALSE,10732.12353,5912.948882
7,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",FALSE,FALSE,12297.38935,8968.69236
8,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 2, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 8, 'verbose': 0}",TRUE,TRUE,5180.740665,2884.059326
8,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 0.5, 'n_estimators': 10, 'random_state': 8, 'verbose': 0}",TRUE,TRUE,5492.568972,2876.831023
8,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",TRUE,TRUE,4704.530148,3215.841736
8,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,6978.574252,4667.677826
8,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 10, 'random_state': 8, 'verbose': 0}",TRUE,FALSE,4963.719715,2876.297917
8,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 8, 'verbose': 0}",TRUE,FALSE,4866.605418,2671.743389
8,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,24694.56092,8385.849083
8,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,FALSE,14086.18,10131.31348
8,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 8, 'verbose': 0}",FALSE,TRUE,9981.370298,4609.924762
